№; Наименование; Марка, модель; Состояние;  Описание; Артикул; Оригинальный номер; Год начала выпуска; Год конца выпуска; Остаток; Цена; Примечание;
1;Зеркало заднего вида салон;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0477;;2002;3000;1;500;;
2;Тяга поперечная стабилизатора;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0457;;2002;3000;1;500;;
3;Селектор МКПП;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0455;;2002;3000;1;500;;
4;Дверь задняя правая;Ford Fiesta;Б/у;Состояние/Износ - 10%. Форд Фиеста;W0032;;2001;2007;1;5000;;
5;Внутренние части задней левой двери;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0483;;2002;3000;1;1000;;
6;Трубка воздушного фильтра;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0454;;2002;3000;1;500;;
7;Барабан тормозной задний правый;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0468;;2002;3000;1;500;;
8;Пластиковые детали салона;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0243;;2006;3000;1;1000;;
9;Подушка под аккомулятор метал;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0941;;2002;2009;1;1000;;
10;Бампер передний;Skoda;Б/у;Состояние/Износ - хор.. Шкода??;W0150;;0;0;1;3000;;
11;Части задней подвески левая и правая;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0907;;2002;2009;1;1000;;
12;Бачок омывателя;Daewoo Espero;Б/у;Состояние/Износ - хор.. Дэу Эсперо;W0133;;1991;1999;1;500;;
13;Корпус воздушного фильтра;Daewoo Espero;Б/у;Состояние/Износ - хор.. Дэу Эсперо;W0126;;1991;1999;1;1000;;
14;Блок обогрева сидений (кнопка);Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0804;;2002;2009;1;1000;;
15;Бачок гидроусилителя;Daewoo Espero;Б/у;Состояние/Износ - хор.. Дэу Эсперо;W0160;;1991;1999;1;500;;
16;Часть глушителя;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0460;;2002;3000;1;1000;;
17;Блок АБС;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0195;;2006;3000;1;6000;;
18;Педальный узел;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0913;;2002;2009;1;1000;;
19;Пружины задние;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0914;;2002;2009;1;1000;;
20;Подрамник задний;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0915;;2002;2009;1;6000;;
21;Суппорт правый,левый передние;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0916;;2002;2009;1;2500;;
22;Подрамник передний;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0917;;2002;2009;1;6000;;
23;Молдинги крыши;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0919;;2002;2009;1;2500;;
24;Бампер передний;Chevrolet Lacetti;Б/у;Состояние/Износ - . Лачетти хэтч;W0661;;2004;3000;1;4000;;
25;Бампер передний;Skoda;Б/у;Состояние/Износ - хор.. Шкода??;W0148;;0;0;1;3000;;
26;Крышка багажника;Volkswagen Touareg;Б/у;Состояние/Износ - . Туарег;W0515;;2002;2010;1;12000;;
