№; Наименование; Марка, модель; Состояние;  Описание; Артикул; Оригинальный номер; Год начала выпуска; Год конца выпуска; Остаток; Цена; Примечание
1; Фонарь зад. левый (крыло); Chery Amulet; Б/у;  б/у; ; ;2001;2010;1;1000; 
2; Фонарь зад. правый (крышка баг.); Chery Amulet; Б/у;  б/у; ; ;2002;2010;1;500; 
3; Фонарь зад. левый (крышка баг.); Chery Amulet; Б/у;  б/у; ; ;2003;2010;1;500; 
4; Фара противотуманная правая; Chery Amulet; Б/у;  б/у; ; ;2004;2010;1;500; 
5; Фара противотуманная левая; Chery Amulet; Б/у;  б/у; ; ;2005;2010;1;500; 
6; Фара левая; Chery Tiggo; Б/у;  б/у; ; ;2006;2010;1;2500; 
7; Фонарь зад. левый ; Chevrolet Lanos; ;  depo; ; ;2004;2011;1;1100; 
8; Фара противотуманная левая; Chevrolet Lanos; ;  Taiwan; ; ;2004;2011;1;450; 
9; Фара левая; Chevrolet Lanos; ;  Taiwan; ; ;2004;2011;1;1500; 
10; Фара противотуманная правая; Chevrolet Lanos; ;  Taiwan; ; ;2004;2011;1;450; 
11; Накладка птф l+r (t255); Chevrolet Aveo ; ;  ориг.; ; ;2008;2011;2;600; 
12; Фара противотуманная правая t255; Chevrolet Aveo ; ;  Taiwan; ; ;2008;2011;1;1100; 
13; Фара противотуманная левая t255; Chevrolet Aveo ; ;  Taiwan; ; ;2008;2011;1;1100; 
14; Накладка птф l(Т250); Chevrolet Aveo ; ;  Taiwan; ; ;2006;2011;1;300; 
15; Фара противотуманная левая t250; Chevrolet Aveo ; ;  Taiwan; ; ;2006;2011;1;600; 
16; Накладка птф r (Т250); Chevrolet Aveo ; ;  Taiwan; ; ;2006;2011;1;300; 
17; Фара противотуманная правая t250; Chevrolet Aveo ; ;  Taiwan; ; ;2006;2011;1;600; 
18; Фара левая б/к (седан) t250; Chevrolet Aveo ; Б/у;  б/у; ; ;2006;2011;1;2500; 
19; Фара противотуманная левая t200; Chevrolet Aveo ; ;  Taiwan; ; ;2003;2008;1;750; 
20; Фара противотуманная правая t200; Chevrolet Aveo ; ;  Taiwan; ; ;2003;2008;1;750; 
