;;FORD;;;;
;ST-FDA5-394-0;Радиатор кондиционера FORD FOCUS II 05-;;;1 600,00;
;;HONDA;;;;
;ST-HD27-394-F0;Радиатор кондиционера ACCORD TORNEO 1.8-2.3  97-02;3,000;CF4;1 848,00;
;ST-HD66-394-0;Радиатор кондиционера CR-V 01-;;RD5;1 900,00;
;ST-HD28-394-D0;Радиатор кондиционера HONDA ACCORD 02-;;CL#;1 900,00;
;ST-HD08-394-0;Радиатор кондиционера HONDA CIVIC 4D 01-05;1,000;ES1;1 700,00;
;ST-HD07-394-0;Радиатор кондиционера HONDA CIVIC 4D 95-01;2,000;EK#;1 400,00;
;ST-HD67-394-0;Радиатор кондиционера HONDA CR-V 07-;;;2 000,00
;ST-HD65-394-0;Радиатор кондиционера HONDA CR-V 95-01;2,000;;1 600,00
;ST-HD75-394-A0;Радиатор кондиционера HONDA FIT 5D 01-03;1,000;GD#;1 600,00
;ST-HD65-394-H0;Радиатор кондиционера HONDA HR-V 98-02;2,000;GH#;1 500,00
;ST-HD72-394-0;Радиатор кондиционера HONDA ODYSSEY 05-;;RB1;2 580,00
;ST-HD70-394-0;Радиатор кондиционера HONDA ODYSSEY 95-99;1,000;RA1;1 700,00
;ST-HD71-394-0;Радиатор кондиционера HONDA ODYSSEY 99-03;2,000;RA6;2 200,00
;ST-HD47-394-0;Радиатор кондиционера HONDA S-MX 97-02;;RH1;1 800,00
;ST-HD48-394-A0;Радиатор кондиционера HONDA STEP WAGON 01-05;1,000;RF3;2 400,00
;ST-HD48-394-0;Радиатор кондиционера HONDA STEP WAGON 96-01;;RF1/RF2;2 350,00
;ST-HDP5-394-0;Радиатор кондиционера HONDA STREAM 00-;;;2 200,00
;;MAZDA;;;
;ST-MZ25-394-A0;Радиатор кондиционера MAZDA 6/ATENZA 02-07;2,000;GG#/GY#;1 824,00
;ST-MZ24-394-B0;Радиатор кондиционера MAZDA CAPELLA 97-02;1,000;GW#;1 900,00
;ST-MZ50-394-A0;Радиатор кондиционера MAZDA DEMIO 00-02;3,000;DW3W;1 560,00
;ST-MZ51-394-0;Радиатор кондиционера MAZDA DEMIO 02-;;DY3W;1 900,00
;ST-MZ50-394-0;Радиатор кондиционера MAZDA DEMIO 96-00;2,000;DW3W;1 550,00
;ST-MZ82-394-0;Радиатор кондиционера MAZDA MPV 99-03;2,000;LW#;2 200,00
;ST-MZ55-394-0;Радиатор кондиционера MAZDA PREMACY 99-05;2,000;CP8W;1 450,00
;ST-MZV7-394-A0;Радиатор кондиционера MAZDA3/AXELA 03-;1,000;BK3P;2 580,00
;;MITSUBISHI;;;
;ST-MB50-394-0;Радиатор кондиционера MITSUBISHI AIRTREK/OUTLANDER 01-06;;CU#W;2 260,00
;ST-MBW2-394-0;Радиатор кондиционера MITSUBISHI COLT/LANCER/MIRAGE 95-00;3,000;CK2A;2 196,00
;ST-MBX4-394-0;Радиатор кондиционера MITSUBISHI GALANT/LEGNUM 96-03;;EA1A;1 800,00
;ST-MBW4-394-0;Радиатор кондиционера MITSUBISHI LANCER 03-;3,000;;2 060,00
;ST-MBW3-394-C0;Радиатор кондиционера MITSUBISHI LANCER CEDIA 1,5-2,0 00-03;3,000;CS2A;2 000,00
;ST-MBY7-394-A0;Радиатор кондиционера MITSUBISHI PAJERO 99-06;2,000;V73W;2 600,00
;ST-MBI1-394-0;Радиатор кондиционера MITSUBISHI PAJERO IO/PININ 1,8-2,0 98-07;1,000;H6#W;2 460,00
;ST-MBY7-394-0;Радиатор кондиционера MMC Сhallenger / Montero Sport 97-06;3,000;;2 580,00
;;NISSAN;;;
;ST-DTW1-394-E0;condenser;2,000;A32/33/P12;1 644,00
;ST-DTW1-394-C0;Радиатор кондиционера Cefiro 96-98;;A32/33/P12;1 404,00
