;9233024010;;MOBIS/KIA/HYUNDAI;;"""ярейкн"" сйюгюрекъ онбнпнрю";20;;;1;59
;9233025500;;MOBIS/KIA/HYUNDAI;;"""ярейкн"" сйюгюрекъ онбнпнрю";1;;;1;155
;925103F000;;MOBIS/KIA/HYUNDAI;;"""ярейкн"" тнмюпъ";10;;;1;184
866202B000;866202B000;;MOBIS/KIA/HYUNDAI;SANTA FE;юаянпаеп аюлоепю гюдмецн;2;;;1;513
8662025000;8662025000;;MOBIS/KIA/HYUNDAI;ACCENT (рюцюг);юаянпаеп аюлоепю гюдмецн;7;;;1;968
8652025000;8652025000;;MOBIS/KIA/HYUNDAI;ACCENT (рюцюг);юаянпаеп аюлоепю оепедмецн;20;;;1;554
546512F500;SF2120;;Besf1ts;CERATO;"юлнпрхгюрнп ""CERATO 1.6к""";1;;;1;2 020
546612F500;SF2121;;Besf1ts;CERATO;"юлнпрхгюрнп ""CERATO 2.0к""";1;;;1;2 020
0K08134720;SF2003;;Besf1ts;SPORTAGE;"юЛНПРХГЮРНП ""sportage 2,0К.""";1;;;1;1 460
5535025050;SR1001;;Besf1ts;ACCENT (рюцюг);"юлнпрхгюрнп ""юйяемр 1.6к""";2;;;1;1 610
5465025100;SF1001;;Besf1ts;ACCENT (рюцюг);"юлнпрхгюрнп ""юйяемр 1.6к""   КЕБШИ";10;;;1;1 391
546504L100;546504L100;;MOBIS/KIA/HYUNDAI;KIA-RIO  2012-;юлнпрхгюрнп б яанпе;2;;;1;3 472
546604L100;546604L100;;MOBIS/KIA/HYUNDAI;KIA-RIO  2012-;юлнпрхгюрнп б яанпе;2;;;1;3 472
8177126011;8177126011;;MOBIS/KIA/HYUNDAI;SANTA FE;юлнпрхгюрнп дбепх гюдмеи;1;;;1;606
817701H310;817701H310;;MOBIS/KIA/HYUNDAI;CEED (2010-) 3 DOOR;юлнпрхгюрнп дбепх гюдмеи кебши;1;;;1;798
553001R000;553001R000;;MOBIS/KIA/HYUNDAI;SOLARIS;юлнпрхгюрнп гюдмхи;10;;;1;1 792
5531034130;5531034130;;MOBIS/KIA/HYUNDAI;SONATA EF (рЮцЮГ) 01MY;юлнпрхгюрнп гюдмхи;1;;;1;1 487
553101G210;553101G210;;MOBIS/KIA/HYUNDAI;RIO;юлнпрхгюрнп гюдмхи;10;;;1;1 881
96179845;96179845;343047;KAYABA;NEXIA;юлнпрхгюрнп гюдмхи;2;;;1;1 250
0K55228700A;0K55228700A;;MOBIS/KIA/HYUNDAI;CARNIVAL;юлнпрхгюрнп гюдмхи;6;;;1;1 564
5535025050;5535025050;;MOBIS/KIA/HYUNDAI;ACCENT (рюцюг);юлнпрхгюрнп гюдмхи КЕБ;20;;;1;1 985
96342033;96316781;;GENERAL MOTORS;MATIZ (M100);юлнпрхгюрнп гюдмхи кеб/опюб;2;;;1;1 190
553502E500;SR1025;;Besf1ts;TUCSON;юлнпрхгюрнп гюдмхи кебши;3;;;1;2 508
