опюия кхяр;;;;;;;;;;;
"ннн ""лнрнпкюим""";;;;;;;;;;;
12.03.15;;;;;;;;;;;
;;;;;;;;;;;
йНД;йНД 2;лНДЕКЭ;мЮХЛЕМНБЮМХЕ РНБЮПНБ;аПЩМД;яРПЮМЮ ОПНХГБНДХРЕКЭ;йНКХВЕЯРБН;лХМ. ЙНКХВЕЯРБН;аЮГНБЮЪ ЖЕМЮ ГЮ 1ЬР.;жЕМЮ ЯН ЯЙХДЙНИ -20%;"жЕМЮ ЯН
ЯЙХДЙНИ -25%";юКЭР.МНЛЕПЮ
CT-H017;568204A000;H-1;мюйнмевмхй пскебни;CAR-DEX;йнпеъ, пеяосакхйю;8;1;370,50;296,40;277,88;
CA-K012;0K2A134350G;SEPHIA II/SHM;пшвюц оепедмхи кебши;CAR-DEX;йнпеъ, пеяосакхйю;5;1;2 416,05;1 932,84;1 812,04;
96563503; ;MATIZ I/II;юлнпрхгюрнп гюдмеи дбепх 5-ни;CHEVROLET;йнпеъ, пеяосакхйю;18;1;1 050,40;840,32;787,80;
96940954; ;LACETTI 5door;юлнпрхгюрнп гюдмеи дбепх 5-ни;CHEVROLET;йнпеъ, пеяосакхйю;20;1;777,40;621,92;583,05;
96540939; ;AVEO 3-5door;юлнпрхгюрнп гюдмеи дбепх 5-ни;CHEVROLET;йнпеъ, пеяосакхйю;10;1;696,80;557,44;522,60;
96626215; ;CAPTIVA;юлнпрхгюрнп гюдмхи;CHEVROLET;йнпеъ, пеяосакхйю;4;1;4 945,20;3 956,16;3 708,90;
96226990; ;ESPERO/NEXIA/LANOS;юлнпрхгюрнп гюдмхи;CHEVROLET;йнпеъ, пеяосакхйю;9;1;3 289,65;2 631,72;2 467,24;
90373164; ;NEXIA;юлнпрхгюрнп гюдмхи;CHEVROLET;йнпеъ, пеяосакхйю;6;1;2 718,95;2 175,16;2 039,21;
96535158; ;AVEO (-2006);юлнпрхгюрнп гюдмхи;CHEVROLET;йнпеъ, пеяосакхйю;5;1;3 154,45;2 523,56;2 365,84;
13332639; ;CRUZE;юлнпрхгюрнп гюдмхи;CHEVROLET;йнпеъ, пеяосакхйю;1;1;3 367,00;2 693,60;2 525,25;
96316781; ;MATIZ/SPARK;юлнпрхгюрнп гюдмхи;CHEVROLET;йнпеъ, пеяосакхйю;11;1;3 046,55;2 437,24;2 284,91;
96289901; ;NUBIRA;юлнпрхгюрнп гюдмхи кебши Я юая;CHEVROLET;йнпеъ, пеяосакхйю;5;1;5 179,85;4 143,88;3 884,89;
96207662; ;LEGANZA;юлнпрхгюрнп гюдмхи кебши Я юая;CHEVROLET;йнпеъ, пеяосакхйю;5;1;10 724,35;8 579,48;8 043,26;
96213435; ;LEGANZA;юлнпрхгюрнп гюдмхи опюбши Я юая;CHEVROLET;йнпеъ, пеяосакхйю;1;1;10 724,35;8 579,48;8 043,26;
96474968; ;EPICA (2007-);юлнпрхгюрнп йпшьйх аюцюфмхйю;CHEVROLET;йнпеъ, пеяосакхйю;1;1;578,50;462,80;433,88;
95079823; ;ESPERO/NEXIA/LANOS;юлнпрхгюрнп оепедмхи;CHEVROLET;йнпеъ, пеяосакхйю;16;1;2 614,30;2 091,44;1 960,73;
13402938; ;CRUZE 1.6-1.8;юлнпрхгюрнп оепедмхи кебши;CHEVROLET;йнпеъ, пеяосакхйю;11;1;6 367,40;5 093,92;4 775,55;
