ПРАЙС-ЛИСТ;;;;;
Модель;Тип товара;ОЕ;TERMAL;Цена;Наличие
ACURA;;;;;
104167C ACURA MDX, HONDA PILOT 06-13;Радиатор  кондиционера;80110-STX-A01;104167C;2 770,00;1
104168C ACURA RDX 06-12;Радиатор  кондиционера;80110-STK-A01;104168C;4 770,00;1
Alfa Romeo;;;;;1
104208C ALFA Romeo  145/146/155  94-96;Радиатор  кондиционера;60591966;104208C                  ;2 970,00;1
104208C ALFA Romeo  145/146/155  94-96;Радиатор  кондиционера;60610662;104208C                  ;2 970,00;1
104208C ALFA Romeo  145/146/155  94-96;Радиатор  кондиционера;60630383;104208C                  ;2 970,00;1
104208C ALFA Romeo  145/146/155  94-96;Радиатор  кондиционера;60812376;104208C                  ;2 970,00;1
104526C  ALFA Romeo  156  97-/147  00-;Радиатор  кондиционера;46790658;104526C                  ;2 510,00;1
104526C  ALFA Romeo  156  97-/147  00-;Радиатор  кондиционера;46842842;104526C                  ;2 510,00;1
104526C  ALFA Romeo  156  97-/147  00-;Радиатор  кондиционера;60628820;104526C                  ;2 510,00;1
104552C ALFA Romeo 147 00-  OE 46768973;Радиатор  кондиционера;46768973;104552C                  ;2 670,00;1
104746C  ALFA Romeo  156  00-  OE 60668109;Радиатор  кондиционера;60668109;104746C                  ;3 200,00;1
104746C  ALFA Romeo  156  00-  OE 60668109;Радиатор  кондиционера;60679629;104746C                  ;3 200,00;1
111438BA AlfaRomeo;Радиатор отопителя;60779470;111438BA;810;1
111438BA AlfaRomeo;Радиатор отопителя;60809015;111438BA;810;1
111438BA AlfaRomeo;Радиатор отопителя;7582607;111438BA;810;1
111438BA AlfaRomeo;Радиатор отопителя;7754065;111438BA;810;1
111438BA AlfaRomeo;Радиатор отопителя;7754068;111438BA;810;1
220034P Радиатор охлаждения Alfa Romeo 145/46 М- 94- OE 60595583;Радиатор охлаждения;60595583;220034P;2 640,00;1
220034P Радиатор охлаждения Alfa Romeo 145/46 М- 94- OE 60595583;Радиатор охлаждения;60620437;220034P;2 640,00;1
220035P Alfa Romeo 145/6/55 1.3 1.8 М+96- 46536388;Радиатор охлаждения;46536388;220035P                  ;1 890,00;1
220035P Alfa Romeo 145/6/55 1.3 1.8 М+96- 46536388;Радиатор охлаждения;46556323;220035P                  ;1 890,00;1
220035P Alfa Romeo 145/6/55 1.3 1.8 М+96- 46536388;Радиатор охлаждения;60610873;220035P                  ;1 890,00;1
220035P Alfa Romeo 145/6/55 1.3 1.8 М+96- 46536388;Радиатор охлаждения;60623447;220035P                  ;1 890,00;1
220035P Alfa Romeo 145/6/55 1.3 1.8 М+96- 46536388;Радиатор охлаждения;60625330;220035P                  ;1 890,00;1
220035P Alfa Romeo 145/6/55 1.3 1.8 М+96- 46536388;Радиатор охлаждения;60626029;220035P                  ;1 890,00;1
220035P Alfa Romeo 145/6/55 1.3 1.8 М+96- 46536388;Радиатор охлаждения;71735344;220035P                  ;1 890,00;1
220052P Alfa Romeo 147 1,6-2,0 M+ 10/00-  46743394;Радиатор охлаждения;46743394;220052P                  ;2 450,00;1
220052P Alfa Romeo 147 1,6-2,0 M+ 10/00-  46743394;Радиатор охлаждения;51702463;220052P                  ;2 450,00;1
526698C Alfa Romeo 147/937 10/00-;Интеркулер;46744880;526698C;4 330,00;1
Audi;;;;;1
1040139C AUDI A4II 2,7-3,0td 03-;Радиатор  кондиционера;8E0.260.403 J;1040139C;2 490,00;+
1040139C AUDI A4II 2,7-3,0td 03-;Радиатор  кондиционера;8E0.260.403 R;1040139C;2 490,00;+
1040139C AUDI A4II 2,7-3,0td 03-;Радиатор  кондиционера;8E0.260.403 S;1040139C;2 490,00;+
1040255C Audi Q3 2.0 TDI/2.0 TFSi (11-);Радиатор  кондиционера;8U0.260.401 B;1040255C;4 910,00;+
104213S  Audi 100/A6  11/92- ;Радиатор  кондиционера;4A0260403 AC;104213S                  ;2 210,00;+
104214C  Audi 100 -10/92;Радиатор  кондиционера;4A0260403A;104214C;2 130,00;+
104310Y Audi A3 /VW Golf IV/Bora/Skoda Octavia (ВСЕ) 96-;Радиатор  кондиционера;1J0.820.411 D;104310Y;1 900,00;+
104310Y Audi A3 /VW Golf IV/Bora/Skoda Octavia (ВСЕ) 96-;Радиатор  кондиционера;1J0.820.413 A;104310Y;1 900,00;+
104310Y Audi A3 /VW Golf IV/Bora/Skoda Octavia (ВСЕ) 96-;Радиатор  кондиционера;1J0.820.413 B;104310Y;1 900,00;+
104310Y Audi A3 /VW Golf IV/Bora/Skoda Octavia (ВСЕ) 96-;Радиатор  кондиционера;1J0.820.413 D;104310Y;1 900,00;+
104310Y Audi A3 /VW Golf IV/Bora/Skoda Octavia (ВСЕ) 96-;Радиатор  кондиционера;1J0.820.413 E;104310Y;1 900,00;+
104310Y Audi A3 /VW Golf IV/Bora/Skoda Octavia (ВСЕ) 96-;Радиатор  кондиционера;1J0.820.413 L;104310Y;1 900,00;+
104310Y Audi A3 /VW Golf IV/Bora/Skoda Octavia (ВСЕ) 96-;Радиатор  кондиционера;1J0.820.413 N;104310Y;1 900,00;+
104345C Audi  A8 94-;Радиатор  кондиционера;4D0.260.401 A;104345C;2 830,00;+
104345C Audi  A8 94-;Радиатор  кондиционера;4D0260401A;104345C;2 830,00;+
104430L AUDI 100 A6 2.5td 97-;Радиатор  кондиционера;4B0260401D;104430L            ;2 580,00;+
104430L AUDI 100 A6 2.5td 97-;Радиатор  кондиционера;4B0260401R;104430L            ;2 580,00;+
104430L AUDI 100 A6 2.5td 97-;Радиатор  кондиционера;4B0260403AA;104430L            ;2 580,00;+
104430L AUDI 100 A6 2.5td 97-;Радиатор  кондиционера;4B0260403D;104430L            ;2 580,00;+
104430L AUDI 100 A6 2.5td 97-;Радиатор  кондиционера;4B0260403G;104430L            ;2 580,00;+
104430L AUDI 100 A6 2.5td 97-;Радиатор  кондиционера;4B0260403R;104430L            ;2 580,00;+
104430L AUDI 100 A6 2.5td 97-;Радиатор  кондиционера;4Z7260403C;104430L            ;2 580,00;+
104583S AUDI A4II/A6III 10/00-11/02;Радиатор  кондиционера;8E0.260.401 A;104583S                  ;2 040,00;+
104583S AUDI A4II/A6III 10/00-11/02;Радиатор  кондиционера;8E0.260.401 B;104583S                  ;2 040,00;+
104583S AUDI A4II/A6III 10/00-11/02;Радиатор  кондиционера;8E0.260.403 A;104583S                  ;2 040,00;+
104583S AUDI A4II/A6III 10/00-11/02;Радиатор  кондиционера;8E0.260.403 B;104583S                  ;2 040,00;+
104593Zh Audi A6 II/III 1,8 2, 4 97-;Радиатор  кондиционера;4B0260401F;104593Zh               ;1 930,00;+
104593Zh Audi A6 II/III 1,8 2, 4 97-;Радиатор  кондиционера;4B0260401T;104593Zh               ;1 930,00;+
104593Zh Audi A6 II/III 1,8 2, 4 97-;Радиатор  кондиционера;4B0260403F;104593Zh               ;1 930,00;+
104593Zh Audi A6 II/III 1,8 2, 4 97-;Радиатор  кондиционера;4B0260403H;104593Zh               ;1 930,00;+
104593Zh Audi A6 II/III 1,8 2, 4 97-;Радиатор  кондиционера;4B0260403N;104593Zh               ;1 930,00;+
104593Zh Audi A6 II/III 1,8 2, 4 97-;Радиатор  кондиционера;4B0260403T;104593Zh               ;1 930,00;+
104665L Радиатор кондиционера AUDI A4II 01/03- O.E. 8E0260401D;Радиатор  кондиционера;8E0260401D;104665L                  ;1 960,00;+
104665L Радиатор кондиционера AUDI A4II 01/03- O.E. 8E0260401D;Радиатор  кондиционера;8E0260403D;104665L                  ;1 960,00;+
104695L  Audi A6  IV 07/04-;Радиатор  кондиционера;4F0260401E;104695L                  ;2 050,00;+
104695L  Audi A6  IV 07/04-;Радиатор  кондиционера;4F0260403E;104695L                  ;2 050,00;+
104695L  Audi A6  IV 07/04-;Радиатор  кондиционера;4F0260403P;104695L                  ;2 050,00;+
104724C  AUDI A 8 / S 8 (03-) 4E0.260.403Q;Радиатор  кондиционера;4E0260403F;104724C;3 970,00;+
104724C  AUDI A 8 / S 8 (03-) 4E0.260.403Q;Радиатор  кондиционера;4E0260403H;104724C;3 970,00;+
104724C  AUDI A 8 / S 8 (03-) 4E0.260.403Q;Радиатор  кондиционера;4E0260403J;104724C;3 970,00;+
104724C  AUDI A 8 / S 8 (03-) 4E0.260.403Q;Радиатор  кондиционера;4E0260403K;104724C;3 970,00;+
104724C  AUDI A 8 / S 8 (03-) 4E0.260.403Q;Радиатор  кондиционера;4E0260403Q;104724C;3 970,00;+
104851E  AUDI A4 II  11/04-  08 TFSi;Радиатор  кондиционера;8E0.260.403 H;104851E                  ;2 530,00;+
